day,start_time,end_time,duration,module,title,page_link,time
1,08:30,09:35,1899-12-30T01:05:00Z,NA,[Hello Quarto](1-1-hello-quarto/),1-1-hello-quarto,08:30 - 09:35
1,09:35,09:45,1899-12-30T00:10:00Z,NA,Break,NA,09:35 - 09:45
1,09:45,10:15,1899-12-30T00:30:00Z,NA,[GitHub](1-2-github/),1-2-github,09:45 - 10:15
1,10:15,10:55,1899-12-30T00:40:00Z,NA,[Documents](1-3-documents/),1-3-documents,10:15 - 10:55
1,10:55,11:05,1899-12-30T00:10:00Z,NA,Break,NA,10:55 - 11:05
1,11:05,11:50,1899-12-30T00:45:00Z,NA,[Documents](1-3-documents/),1-3-documents,11:05 - 11:50
1,11:50,12:10,1899-12-30T00:20:00Z,NA,[Scholarly Writing](1-4-scholarly-writing/),1-4-scholarly-writing,11:50 - 12:10
2,08:30,09:15,1899-12-30T00:45:00Z,NA,Presentations,NA,08:30 - 09:15
2,09:15,09:25,1899-12-30T00:10:00Z,NA,Break,NA,09:15 - 09:25
2,09:25,10:10,1899-12-30T00:45:00Z,NA,Websites,NA,09:25 - 10:10
2,10:10,10:20,1899-12-30T00:10:00Z,NA,Break,NA,10:10 - 10:20
2,10:20,11:35,1899-12-30T01:15:00Z,NA,Develop,NA,10:20 - 11:35
2,11:35,11:45,1899-12-30T00:10:00Z,NA,Break,NA,11:35 - 11:45
2,11:45,12:00,1899-12-30T00:15:00Z,NA,Develop,NA,11:45 - 12:00
2,12:00,12:15,1899-12-30T00:15:00Z,NA,Publish,NA,12:00 - 12:15
2,12:15,12:30,1899-12-30T00:15:00Z,NA,Wrap-up,NA,12:15 - 12:30
